order,word,phonetic,example,note,definition_en
1,month,/mʌnθ/,I like to set goals for myself at the start of each month.,,
2,January,/ˈdʒænjuˌɛri/,"In January, we celebrate the start of the new year with fireworks and joy.",,
3,February,/ˈfɛbjuˌɛri/,"During February, the days gradually start getting longer as we move closer to spring.",,
4,March,/mɑrtʃ/,March is a month when the weather starts to get warmer.,,
5,April,/ˈeɪprəl/,Earth Day is observed on April 22nd to promote environmental awareness.,,
6,May,/meɪ/,"Many flowers bloom in May, such as tulips and daisies.",,
7,June,/dʒuːn/,"June is a month filled with outdoor activities like swimming, camping, and barbecues.",,
8,July,/dʒuˈlaɪ/,Fireworks displays are common in many countries during the month of July.,,
9,August,/ˈɔːɡəst/,August marks the end of summer and the beginning of autumn in some parts of the world.,,
10,September,/sɛpˈtɛmbɚ/,"In September, the weather starts to cool down as autumn approaches.",,
11,October,/ɑkˈtoʊbɚ/,Halloween is celebrated on the last day of October.,,
12,November,/noʊˈvɛmbɚ/,Many people enjoy watching the colorful leaves fall from the trees in November.,,
13,December,/dɪˈsɛmbɚ/,December is the last month of the year.,,
14,season,/ˈsiːzən/,"During the spring season, my son enjoys swimming in the pool.",,
15,spring,/sprɪŋ/,"His favorite season is spring, when the weather is mild and the flowers are in full bloom.",,
16,summer,/ˈsʌmɚ/,I enjoy eating ice cream to cool down in the hot summer months.,,
17,fall,/fɑl/,Fall is the season when students go back to school after summer break.,,
18,winter,/ˈwɪntɚ/,It's fun to go skiing or snowboarding on the mountains in winter.,,
