order,word,phonetic,example,note,definition_en
1,country,/ˈkʌntri/,Canada is a vast country known for its stunning landscapes and friendly people.,,
2,the United States,/juːˈnaɪtɪd ˈsteɪts/,English is the primary language spoken in the United States.,,
3,American,/əˈmɛrɪkən/,American football is a popular sport in the United States.,,
4,Canada,/ˈkænədə/,"Canada celebrates its national day, Canada Day, on July 1st.",,
5,Canadian,/kəˈneɪdiən/,"Canadian national parks, such as Banff and Jasper, attract tourists from around the world.",,
6,United Kingdom,/juːˈnaɪtɪd ˈkɪŋdəm/,Buckingham Palace in London is the official residence of the Queen of the United Kingdom.,,
7,British,/ˈbrɪtɪʃ/,Shakespeare is one of the most famous British playwrights in history.,,
8,Germany,/ˈdʒɝːməni/,Oktoberfest is a famous festival celebrated in Germany.,,
9,German,/ˈdʒɝːmən/,"German castles, such as Neuschwanstein and Heidelberg Castle, attract many tourists.",,
10,France,/fræns/,France is known for its rich history and cultural heritage.,,
11,French,/frɛntʃ/,French cuisine is known for its delicious cheeses and wines.,,
12,Spain,/speɪn/,"Barcelona, located in Spain, is famous for its unique architecture.",,
13,Spanish,/ˈspænɪʃ/,Flamenco is a traditional Spanish dance that is known for its expressive movements.,,
14,Italy,/ˈɪtəli/,I traveled to Italy last year to explore its rich history and beautiful cities.,,
15,Italian,/ɪˈtæljən/,"Maria's family immigrated from Italy, so they celebrate their Italian heritage by hosting traditional Italian feasts during holidays.",,
