order,word,phonetic,example,note,definition_en
1,animal,/ˈænɪməl/,Birds are animals that can fly and build nests in trees.,,
2,cat,/kæt/,I heard a cat meowing outside my window.,,
3,dog,/dɔːɡ/,I found a lost dog and helped it find its owner.,,
4,horse,/hɔːrs/,A beautiful white horse grazed peacefully in the meadow.,,
5,sheep,/ʃiːp/,A curious sheep approached me and sniffed my hand.,,
6,cow,/kaʊ/,I learned about different breeds of cows and their characteristics.,,
7,pig,/pɪɡ/,I watched as the pig rooted around in the dirt for food.,,
8,lion,/ˈlaɪən/,I saw a lion hunting for prey in the tall grass.,,
9,rabbit,/ˈræbɪt/,I gave a carrot to the hungry rabbit.,,
10,mouse,/maʊs/,I gave some cheese to the hungry mouse.,,
11,snake,/sneɪk/,I watched as the snake swallowed its prey whole.,,
12,fish,/fɪʃ/,"My dad took me fishing, and we caught a big fish.",,
13,elephant,/ˈɛləfənt/,Elephants are known for their intelligence and remarkable memory.,,
14,bird,/bɜrd/,I saw a bird pecking at the ground searching for food.,,
15,chicken,/ˈtʃɪkən/,My grandfather used to raise chickens on his farm.,,
