order,word,phonetic,example,note,definition_en
1,absolutism,/ˈæbsəˌɫuˌtɪzəm/,The monarch ruled under the doctrine of political absolutism.,,
2,populism,/ˈpɑpjəˌɫɪzəm/,"Populism in politics refers to a movement or approach that seeks to represent the interests and voices of ordinary people, often positioning itself against established elites or institutions.",,
3,totalitarianism,/ˌtoʊˌtæɫəˈtɛɹiəˌnɪzəm/,The political party embraced totalitarianism as the guiding principle of its rule.,,
4,psephology,/sɛfˈɑːlədʒi/,Psephology played a crucial role in predicting the election results by analyzing historical voting patterns and demographics.,,
5,agitprop,/ˈædʒətˌpɹɔp/,"During the election season, both political parties engaged in agitprop, utilizing advertisements and media campaigns to sway public opinion.",,
6,constitutionalism,/kˈɑːnstɪtˌuːʃənəlˌɪzəm/,The lawyer championed constitutionalism as a safeguard against arbitrary rule.,,
7,geopolitics,/ˌdʒioʊˈpɑɫətɪks/,"Geopolitics played a significant role in the strategic decisions of nations during the Cold War, with considerations of territorial proximity and resources influencing alliances.",,
8,power politics,/pˈaʊɚ pˈɑːlətˌɪks/,"The history of international relations is marked by instances of power politics, where nations strategically pursued their interests through diplomatic and military means.",,
9,fanaticism,/fəˈnætəˌsɪzəm/,The novel explored the dangers of religious fanaticism and its impact on society.,,
10,militarism,/ˈmɪɫətɝˌɪzəm/,"Militarism is a political and social ideology that emphasizes the importance of military power and the maintenance of a strong, aggressive defense force.",,
11,statism,/ˈsteɪˌtɪzəm/,"Statism is a political system or ideology that emphasizes the role of the state in controlling economic and social policy, often advocating for significant government intervention in various aspects of life.",,
12,unilateralism,/ˌjunɪˈɫætɝəˌɫɪzəm/,"The president's decision to withdraw from the international treaty was an example of unilateralism, as it was done without consulting or seeking approval from allied nations.",,
13,incumbent,/ˌɪnˈkəmbənt/,The incumbent faced strong competition in the upcoming election.,,
14,sedition,/sɪˈdɪʃən/,"The revolutionary pamphlet was charged with sedition, as it called for citizens to overthrow the government.",,
15,skirmish,/ˈskɝmɪʃ/,The soldiers engaged in a brief skirmish with enemy forces before retreating to regroup.,,
16,suffrage,/ˈsəfɹɪdʒ/,"Some countries still restrict suffrage based on gender, age, or socio-economic status.",,
17,polity,/ˈpɑɫəti/,The church adopted a new polity emphasizing local autonomy.,,
18,to promulgate,/pɹoʊˈməɫɡeɪt/,The government promulgated new tax laws effective January 1st.,,
19,spin doctor,/spˈɪn dˈɑːktɚ/,The spin doctor carefully crafts the politician's speeches to ensure they resonate with the target audience.,,
20,oligarchy,/ˈɑɫəˌɡɑɹki/,An oligarchy is a form of government where power is concentrated in the hands of a small group of individuals or families.,,
21,caucus,"/ˈkɑkəs/, /ˈkɔkəs/",The Democratic caucus met to discuss their strategy for the upcoming election.,,
22,bipartisan,"/baɪˈpɑɹtɪsən/, /baɪˈpɑɹtɪzən/",The bipartisan committee worked together to draft legislation addressing the economic challenges facing the country.,,
