order,word,phonetic,example,note,definition_en
1,diligent,/ˈdɪɫɪdʒənt/,His diligent work ethic helped him excel in his career.,,
2,self-reliant,/sˈɛlfɹɪlˈaɪənt/,"Growing up in a rural area, she learned to be self-reliant from a young age, able to handle any task that came her way.",,
3,tenacious,/təˈneɪʃəs/,The tenacious advocate continued to fight for social justice even in the face of adversity.,,
4,gallant,/ˈɡæɫənt/,"He held the door open for her with a gallant gesture, showing respect for her.",,
5,gracious,/ˈɡɹeɪʃəs/,She offered a gracious welcome to all the guests at the party.,,
6,prudent,/ˈpɹudənt/,The prudent investor diversified their portfolio to minimize risk.,,
7,amicable,/ˈæmɪkəbəɫ/,"After the divorce, they agreed to split their assets in an amicable manner, avoiding any conflict.",,
8,benevolent,/bəˈnɛvəɫənt/,The benevolent old man would often buy lunch for strangers at the local cafe.,,
9,disdainful,/dɪsˈdeɪnfəɫ/,"Despite his attempts to contribute, he received only disdainful looks from the group.",,
10,fickle,/ˈfɪkəɫ/,"Her fickle nature made it difficult to plan anything, as she often changed her mind at the last minute.",,
11,morose,/mɝˈoʊs/,"After receiving disappointing news, he became morose and withdrew from social interactions.",,
12,sullen,/ˈsəɫən/,"After losing the game, he sat in the corner with a sullen expression, refusing to talk to anyone.",,
13,egoistic,/ˌiːɡoʊˈɪstɪk/,His egoistic behavior made it challenging for colleagues to collaborate with him on team projects.,,
14,callous,/ˈkæɫəs/,The manager's callous decision to lay off employees without notice shocked the entire team.,,
15,blunt,/ˈbɫənt/,"Instead of sugarcoating the feedback, she gave a blunt assessment of the project's shortcomings.",,
16,obstinate,/ˈɑbstənət/,"The obstinate child refused to eat his vegetables, no matter how much his parents coaxed him.",,
17,spiteful,/ˈspaɪtfəɫ/,"Despite being friends for years, Lisa couldn't understand why Sarah made spiteful comments about her achievements.",,
18,bigoted,/ˈbɪɡətɪd/,His bigoted remarks about people from other cultures caused an uproar at the meeting.,,
19,sly,/ˈsɫaɪ/,"With a sly smile, he managed to slip away from the group without anyone noticing.",,
20,upright,/ˈʌpˌraɪt/,The upright tax auditor rejected every bribe.,,
21,winsome,/ˈwɪnsəm/,The toddler's winsome smile captured the hearts of everyone in the room.,,
22,finicky,/ˈfɪnəki/,The finicky eater refused to eat anything that wasn't prepared exactly to their liking.,,
