topic_index,topic_title,topic_url,order,word,phonetic,example,note,definition_en
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,1,relation,/rɪˈleɪʃən/,Grandma always hosts family gatherings for all our relations.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,2,relationship,/rɪˈleɪʃənˌʃɪp/,"Despite living in different countries, they discovered a familial relationship through their shared great-great-grandfather.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,3,friendship,/ˈfrɛndˌʃɪp/,The bond of friendship between Jack and Jill was so strong that they could communicate without uttering a single word.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,4,motherhood,/ˈmʌðɚˌhʊd/,"She embraced motherhood with love and dedication, cherishing every moment with her child.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,5,fatherhood,/ˈfɑðɚˌhʊd/,"He embraced fatherhood with open arms, eager to provide and protect his family.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,6,relative,/ˈrɛlətɪv/,"My grandparents, aunts, uncles, and cousins are all my relatives.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,7,marriage,/ˈmɛrɪʤ/,Counseling and communication are essential for a successful marriage.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,8,unmarried,/ʌnˈmɛrɪd/,"Despite being in a long-term relationship, they remained unmarried.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,9,engaged,/ɪnˈɡeɪʤd/,The engaged couple spent months planning their wedding.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,10,separated,/ˈsɛpɚˌeɪtɪd/,The separated couple attended counseling sessions to work through their issues.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,11,bride,/braɪd/,"The bride walked down the aisle, radiant in her white wedding gown, as the guests looked on with admiration.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,12,groom,/ɡruːm/,The groom looked dashing in his tailored suit as he waited at the altar.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,13,spouse,/spaʊs/,He introduced his spouse as his rock and closest confidant.,,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,14,single parent,/ˈsɪŋɡəl ˈpɛrənt/,"As a single parent, she works hard to provide for her children and give them the best possible life.",,
1,Family and Relationships,https://langeek.co/en/vocab/subcategory/138/learn,15,only child,/ˈoʊnli ˈʧaɪld/,"As an only child, he received undivided attention from his parents.",,
