order,word,phonetic,example,note,definition_en
1,healthcare,/ˈhɛlθˌkɛr/,Access to affordable healthcare is a major concern for many families in the country.,,
2,welfare,/ˈwɛlˌfɛr/,The school is concerned with the welfare of its students.,,
3,medicine,"/ˈmɛdɪsən/ , /ˈmɛdɪsɪn/",The doctor prescribed medicine for her cough.,,
4,medical,/ˈmɛdɪkəl/,She pursued a career in the medical field to help others improve their health.,,
5,positive,/ˈpɑzətɪv/,The positive result of the pregnancy test confirmed her suspicions.,,
6,negative,/ˈnɛɡətɪv/,The doctor informed her that the blood test came back negative for any signs of infection.,,
7,drug,/drʌɡ/,"Drugs prescribed by doctors play a crucial role in treating various medical conditions, from antibiotics for infections to painkillers for managing discomfort.",,
8,aspirin,/ˈæspɹɪn/,She took two aspirin tablets to relieve her headache.,,
9,antibiotic,"/ˌæntiˌbaɪˈɑtɪk/ , /ˌæntaɪˌbaɪˈɑtɪk/",,,
10,capsule,"/ˈkæpsəl/ , /ˈkæpsjuːl/",The doctor advised taking one capsule twice daily with water.,,
11,first-aid kit,/ˌfɝstˈeɪd ˌkɪt/,Always carry a first-aid kit when hiking in remote areas.,,
12,bandage,/ˈbændɪdʒ/,She wrapped a bandage around the cut on her finger to protect it from infection.,,
13,Band-Aid,/ˈbændˌeɪd/,He carefully applied a Band-Aid to his finger after nicking it while chopping vegetables.,,
14,shot,/ʃɑt/,He received a shot to manage his pain.,,
15,to bleed,/bliːd/,The paper cut on her finger began to bleed after she accidentally touched it.,,
16,to suffer,/ˈsʌfɚ/,"The child suffered from a high fever and cough, prompting his parents to take him to the doctor.",,
17,painful,/ˈpeɪnfəl/,The painful cut on his hand required immediate attention.,,
18,examination,/ɪɡˌzæməˈneɪʃən/,The mechanic's examination of the engine revealed several problems.,,
19,test,/tɛst/,The doctor scheduled a blood test to check for any infections.,,
20,operation,/ˌɑpəˈreɪʃən/,The doctor explained the details of the operation to ensure the patient understood the procedure.,,
21,to operate,/ˈɑpəˌreɪt/,The surgeon needed to operate immediately to remove the patient's appendix.,,
22,to treat,/triːt/,First aid is administered to treat minor injuries and wounds.,,
23,treatment,/ˈtriːtmənt/,"After the accident, he underwent extensive treatment to recover from his injuries and regain mobility.",,
24,to cure,/kjʊr/,Antibiotics are often prescribed to cure bacterial infections.,,
25,to heal,/hiːl/,"Over time, a wound may heal and gradually close.",,
26,mental,/ˈmɛntəl/,Regular exercise can have positive effects on both physical and mental health.,,
27,to spread,/sprɛd/,The flu virus can easily spread in crowded places.,,
28,symptom,/ˈsɪmptəm/,A persistent cough can be a symptom of a respiratory infection.,,
29,to recover,/rɪˈkʌvɚ/,"After a week of rest, she started to recover from the flu.",,
30,recovery,/rɪˈkʌvɚi/,He required several weeks of recovery after the operation.,,
31,prescription,/prɪˈskrɪpʃən/,The pharmacist filled the prescription for antibiotics.,,
32,care,/kɛr/,The elderly residents of the nursing home received compassionate care from the dedicated staff members.,,
33,to care for,/kɛr fɔr/,The nurse cares for elderly patients at the hospital.,,
34,first aid,/fɝst ˈeɪd/,,,
35,checkup,/ˈʧɛkˌʌp/,She scheduled her annual checkup to ensure she was in good health.,,
36,to weigh,/weɪ/,The baby elephant weighs over 200 pounds.,,
37,poison,/ˈpɔɪzən/,The scientist studied the effects of poison on the nervous system.,,
38,to [catch] (a|) cold,/kæʧ ə koʊld/,I felt terrible yesterday; I caught cold after getting soaked in the rain.,,
