order,word,phonetic,example,note,definition_en
1,period,/ˈpɪriəd/,We lived in the city for a short period.,,
2,term,/tɝm/,,,
3,while,/waɪl/,She waited patiently for a while before the bus finally arrived.,,
4,daytime,/ˈdeɪˌtaɪm/,,,
5,nighttime,/ˈnaɪtˌtaɪm/,,,
6,daylight,/ˈdeɪˌlaɪt/,,,
7,midday,/ˈmɪdˌdeɪ/,The sun is usually brightest at midday.,,
8,at times,/æt ˈtaɪmz/,She can be a bit reserved at times.,,
9,continuous,/kənˈtɪnjuəs/,"The machine operates in continuous motion, producing items around the clock.",,
10,continuously,/kənˈtɪnjuəsli/,"The conveyor belt moved continuously, transporting goods from one end of the factory to the other.",,
11,ahead of time,/əˈhɛd əv ˈtaɪm/,She finished the project ahead of time.,,
12,late,/leɪt/,The late delivery of the package inconvenienced the recipient.,,
13,to last,/læst/,"The concert lasts for two hours, showcasing the band's greatest hits.",,
14,to take,/teɪk/,Learning a new language can take several months of consistent practice.,,
15,punctual,/ˈpʌŋktʃuəl/,She is always punctual for her appointments.,,
16,throughout,/θruˈaʊt/,The singer maintained perfect pitch throughout.,,
17,sudden,/ˈsʌdən/,The sudden noise startled everyone in the room.,,
18,regularly,/ˈrɛɡjʊlərli/,"The committee meets regularly, on the first Monday of every month.",,
19,regular,/ˈrɛɡjʊlər/,The grocery store offers regular discounts on certain items to attract customers.,,
20,immediate,/ɪˈmiːdiət/,The immediate concern for the company was how to handle the financial crisis.,,
21,eventually,/ɪˈvɛnʧuəli/,He eventually became the manager of the company.,,
22,afterward,/ˈæftɚwɚd/,"She completed her work, and afterward, she went for a walk.",,
23,ago,/əˈɡoʊ/,She moved to this city three years ago.,,
24,all the time,/a:l ðə ˈtaɪm/,"The air conditioner runs all the time, it never turns off.",,
25,far,/fɑr/,The technology we have now will seem primitive far in the future.,,
26,hourly,/ˈaʊɚli/,He checks his email hourly for updates.,,
27,instantly,/ˈɪnstəntli/,The digital transaction was completed instantly.,,
28,present,/ˈprɛzənt/,The present situation requires immediate attention and action.,,
29,past,/pæst/,Her past experiences shaped her perspective on life.,,
30,future,/ˈfjuʧɚ/,Planning for future projects is essential for the company's growth.,,
31,already,/ɑːlˈredi/,She had already left when I arrived.,,
32,currently,/ˈkɝrəntli/,The company is currently working on a new product launch.,,
33,ever,/ˈɛvɚ/,"If ever you need help, just call me.",,
34,forever,/fɔrˈɛvɚ/,She promised to love him forever.,,
35,just,/ʤʌst/,He has just arrived at the party.,,
36,meanwhile,/ˈminˌwaɪl/,"She started cooking dinner; meanwhile, her husband set the table.",,
37,previously,/ˈpriːviəsli/,She had previously worked for a different company before joining the current one.,,
38,away,/əˈweɪ/,Her birthday is just three days away.,,
39,near,/nɪr/,The near future holds many exciting possibilities.,,
40,irregular,/ɪˈrɛɡjʊlər/,The irregular intervals between the train departures made it difficult for passengers to plan their trips.,,
