order,word,phonetic,example,note,definition_en
1,sunrise,/ˈsʌnˌraɪz/,We watched the sunrise from the top of the mountain.,,
2,sunset,/ˈsʌnˌsɛt/,The sunset marked the end of a perfect day.,,
3,sunshine,/ˈsʌnˌʃaɪn/,They basked in the warm sunshine at the beach all afternoon.,,
4,shade,/ʃeɪd/,They sat under the shade of a large oak tree to escape the heat.,,
5,thunder,/ˈθʌndɚ/,The thunder rattled the windows during the intense storm.,,
6,lightning,/ˈlaɪtnɪŋ/,The sky lit up with a brilliant flash of lightning during the storm.,,
7,rainfall,/ˈreɪnfɑːl/,The rainfall this year has been much higher than usual.,,
8,snowfall,/ˈsnoʊˌfɑ:l/,The peaceful countryside was transformed into a winter wonderland after a heavy snowfall blanketed the landscape in a pristine layer of white.,,
9,shower,/ˈʃaʊɚ/,We experienced a light shower before the sun came out again.,,
10,rainstorm,/ˈreɪnˌstɔrm/,The rainstorm flooded the streets within minutes.,,
11,snowstorm,/ˈsnoʊˌstɔrm/,"After the snowstorm, kids were excited to go sledding.",,
12,rainwater,/ˈreɪnˌwɑtɚ/,The rainwater ran off the roof and into the gutters.,,
13,raindrop,/ˈreɪnˌdrɑp/,"Raindrops splattered against the windowpane, creating a soothing sound.",,
14,snowflake,/ˈsnoʊˌfleɪk/,"Each snowflake is a tiny work of art, with its own intricate pattern.",,
15,to pour,/pɔr/,"It started to pour just as we left the house, drenching us completely.",,
16,to flood,/flʌd/,"When the snow melted rapidly, the river flooded, inundating low-lying areas.",,
17,humid,/ˈhjuːmɪd/,The humid weather made the air feel heavy and sticky.,,
18,damp,/dæmp/,The towel felt damp after being left out in the humid bathroom.,,
19,frozen,/ˈfroʊzən/,The roads were treacherous due to frozen patches of ice.,,
20,heat wave,/ˈhiːt ˌweɪv/,"The city issued a warning for a heat wave, advising residents to stay indoors and stay hydrated.",,
21,fine,/faɪn/,We decided to go for a picnic because the weather was fine and perfect for outdoor activities.,,
22,calm,/kɑm/,"The sea was calm, with not a ripple in sight.",,
23,hailstorm,/ˈheɪlˌstɔrm/,The hailstorm caused damage to cars and rooftops.,,
24,icy,/ˈaɪsi/,"The icy wind cut through my jacket, sending shivers down my spine as I hurried to find shelter.",,
25,forecast,/ˈfɔrˌkæst/,The weather forecast predicts rain tomorrow.,,
26,to set,/sɛt/,"The sun sets in the west, painting the sky with beautiful colors.",,
27,to rise,/raɪz/,"Every morning, the sun rises in the east, bringing light to the world.",,
28,to freeze,/friːz/,"The forecast predicted that temperatures would freeze overnight, prompting residents to take precautions against frost.",,
29,to melt,/mɛlt/,Ice cubes melt quickly in warm water.,,
30,to shine,/ʃaɪn/,"The morning sun shone through the window, illuminating the room with a golden glow.",,
31,acid rain,/ˈæsɪd ˌreɪn/,The once-clear mountain stream turned murky after years of acid rain falling on its watershed.,,
32,sandstorm,/ˈsændˌstɔrm/,,,
33,windstorm,/ˈwɪndˌstɔrm/,,,
34,bright,/braɪt/,The bright morning greeted her with clear skies and a warm sun.,,
