order,word,phonetic,example,note,definition_en
1,beverage,/ˈbɛvərɪʤ/,Sarah enjoys sipping a hot cup of tea as her morning beverage to start the day.,,
2,soft drink,/ˈsɔft ˌdrɪŋk/,She grabbed a can of her favorite soft drink from the fridge to cool off on a hot summer day.,,
3,nonalcoholic,/ˌnɑnˌælkəˈhɑlɪk/,"She ordered a nonalcoholic cocktail, also known as a mocktail, made with fruit juices and soda water.",,
4,soda,/ˈsoʊdə/,She ordered a cold soda to quench her thirst after a long day of outdoor activities.,,
5,Coca-Cola,/ˌkoʊkəˈkoʊlə/,"At the movie theater, I always order a large bucket of popcorn and a refreshing Coca-Cola.",,
6,mineral water,/ˈmɪnərəl ˌwɔtɚ/,She preferred to drink mineral water for its natural purity and mineral content.,,
7,milkshake,/ˈmɪlkˌʃeɪk/,She treated herself to a chocolate milkshake as a special dessert after dinner.,,
8,smoothie,/ˈsmuːði/,"The café offers a variety of refreshing smoothies, including mango-banana and strawberry-kiwi.",,
9,lemonade,/ˌlɛməˈneɪd/,The kids set up a lemonade stand to raise money for charity.,,
10,espresso,/ɛˈsprɛsoʊ/,Sarah ordered a double shot of espresso to kickstart her morning.,,
11,latte,/ˈlɑːˌteɪ/,She ordered a latte with almond milk for a creamy and dairy-free coffee option.,,
12,cocoa,/ˈkoʊˌkoʊ/,"Sarah likes to make a steaming cup of hot cocoa on cold winter nights, topped with marshmallows.",,
13,energy drink,/ˈɛnɚdʒi ˌdrɪŋk/,"After a long night of studying, he reached for an energy drink to help him stay awake.",,
14,alcoholic,/ˌælkəˈhɑlɪk/,He ordered an alcoholic beverage at the bar to unwind after a long day at work.,,
15,alcohol,/ˈælkəˌhɑl/,The legal drinking age for purchasing alcohol in many countries is 21.,,
16,drink,/drɪŋk/,They decided to meet for drinks after work to celebrate their colleague's promotion.,,
17,to drink,/drɪŋk/,"She doesn't usually drink, but she'll have a cocktail at special occasions.",,
18,beer,/bɪr/,They tasted different types of beer during the brewery tour.,,
19,Champagne,/ʃæmˈpeɪn/,They toasted with glasses of champagne to celebrate their wedding anniversary.,,
20,wine,/waɪn/,"During the celebration, they enjoyed a glass of red wine.",,
21,whiskey,/ˈwɪski/,"He savored the smooth, smoky flavor of the Scotch whisky as he sipped it slowly.",,
22,vodka,/ˈvɑːdkə/,She mixed vodka with tonic water and a squeeze of lime for a refreshing cocktail.,,
23,tequila,/təˈkiːlə/,"The bartender crafted a classic Margarita using tequila, triple sec, lime juice, and agave syrup.",,
24,brandy,/ˈbrændi/,She enjoyed sipping brandy by the fireplace on cold winter evenings.,,
25,still,/stɪl/,"She preferred still water over sparkling, finding its simplicity refreshing.",,
26,sparkling,/ˈspɑrkəlɪŋ/,She enjoyed sipping sparkling water with a slice of lemon for a refreshing twist.,,
27,Tonic,/ˈtɑːnɪk/,She mixed gin and tonic for a classic and refreshing cocktail.,,
28,cocktail,/ˈkɑkˌteɪl/,She enjoyed sipping a classic cocktail like a martini or a mojito on special occasions.,,
