topic_index,topic_title,topic_url,order,word,phonetic,example,note,definition_en
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,1,alarm clock,/əˈlɑːrm klɑːk/,I always set multiple alarms on my alarm clock to ensure I wake up.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,2,equipment,/ɪˈkwɪpmənt/,"She packed her camping equipment, including a tent and a sleeping bag.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,3,device,/dɪˈvaɪs/,The flashlight is a simple yet helpful device during power outages.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,4,loudspeaker,/ˈlaʊdˌspiːkɚ/,Please lower the volume on the loudspeaker; it's too loud.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,5,camera,/ˈkæmrə/,He borrowed his friend's camera to document the event.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,6,dishwasher,/ˈdɪʃˌwɑːʃɚ/,"He pressed the ""start"" button on the dishwasher and walked away.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,7,washing machine,/ˈwɑːʃɪŋ məˈʃiːn/,He forgot to empty the pockets before putting the clothes in the washing machine.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,8,oven,/ˈʌvən/,He used the oven's timer to remind him to check on the cookies.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,9,coffee maker,/ˈkɑːfi ˈmeɪkɚ/,She cleaned the coffee maker's filter to remove any coffee residue.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,10,toaster oven,/ˈtoʊstɚ ˈʌvən/,She uses a toaster oven to quickly toast her bread in the morning.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,11,air conditioner,/ˈɛr kənˌdɪʃɪnɚ/,He called a technician to repair the air conditioner when it stopped working.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,12,heater,/ˈhiːtɚ/,She turned on the heater to warm up the room.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,13,radio,/ˈreɪdiˌoʊ/,The radio program has interesting interviews.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,14,telephone,/ˈtɛləˌfoʊn/,He needs to recharge his telephone battery.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,15,line,/laɪn/,"He dialed the number, and a voice answered on the other end of the line.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,16,hair dryer,/ˈhɛr ˌdraɪɚ/,I bought a travel-sized hair dryer for my vacations.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,17,fan,/fæn/,"During the summer, the electric fan is our best friend.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,18,vacuum cleaner,/ˈvækjuˌm ˈkliːnɚ/,"Before using the vacuum cleaner, make sure to remove any large objects from the floor.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,19,iron,/ˈaɪɚn/,My sister taught me a handy trick to iron collars and cuffs.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,20,remote control,/rɪˈmoʊt kənˈtroʊl/,He pressed the button on the remote control to pause the movie.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,21,smoke detector,/ˈsmoʊk ˈdɪˌtɛktɚ/,"I forgot to replace the battery in the smoke detector, so it wasn't working properly.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,22,to turn on,/tɝːn ɑːn/,"Before using the printer, make sure to turn it on and check for paper.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,23,to turn off,/tɝːn ɒf/,Don't forget to turn off the TV when you're finished watching it.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,24,to work,/wɝːk/,"The elevator is not working, we have to take the stairs.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,25,broken,/ˈbroʊkən/,The broken printer refused to print the documents.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,26,to use,"/jus/ , /juz/",He is using his phone to take a picture.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,27,system,/ˈsɪstəm/,Our school uses an online learning system for assignments and grades.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,28,to repair,/rɪˈpɛr/,Can you help me repair this torn book page with tape?,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,29,flashlight,/ˈflæʃˌlaɪt/,"During the blackout, everyone relied on their flashlights.",,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,30,carpet,/ˈkɑːrpɪt/,I laid the baby down on the soft carpet for a nap.,,
1,Home Appliances and Devices,https://langeek.co/en/vocab/subcategory/113/learn,31,furniture,/ˈfɝːnɪtʃɚ/,My father cleaned and polished the wooden furniture to keep it looking nice.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,1,fashion,/ˈfæʃən/,Fashion trends can vary greatly depending on the region and culture.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,2,clothing,/ˈkloʊðɪŋ/,Some cultures have traditional clothing that holds significant cultural value.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,3,blouse,/blaʊs/,She decided to wear a white blouse and a black skirt for the job interview.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,4,shorts,/ʃɔːrts/,He rolled up the hem of his shorts for a more fashionable look.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,5,pocket,/ˈpɑːkɪt/,He kept his keys in the pocket of his jeans.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,6,button,/ˈbʌtən/,He carefully fastened the buttons on his shirt.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,7,uniform,/ˈjuːnɪˌfɔːrm/,The employees at the hotel wear a professional uniform.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,8,umbrella,/ʌmˈbrɛlə/,I always carry an umbrella in my bag in case it rains.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,9,accessory,"/ækˈsɛsɚi/ , /əkˈsɛsɚi/",A belt can be both a practical and stylish accessory for jeans or dresses.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,10,watch,/wɑːtʃ/,"He wears his watch every day, even when he goes swimming.",,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,11,glasses,/ˈɡlæsɪz/,He cleans his glasses regularly to keep them smudge-free.,,
2,Clothes and Accessories,https://langeek.co/en/vocab/subcategory/114/learn,12,sunglasses,/ˈsʌnˌɡlæsɪz/,"He forgot to bring his sunglasses to the beach, and his eyes got sunburned.",,
