order,word,phonetic,example,note,definition_en
1,action,/ˈækʃən/,"The action on the battlefield was intense, with both sides fiercely contesting the territory.",,
2,advance,/ədˈvæns/,The troops made a swift advance toward the enemy lines.,,
3,camp,/kæmp/,The soldiers returned to camp after their training exercises.,,
4,military,/ˈmɪlɪˌtɛri/,Military tactics dominated the discussion.,,
5,air force,/ˈer fˈoːrs/,The air force conducted a series of training exercises with their new fighter jets.,,
6,navy,/ˈneɪvi/,The navy conducted exercises to ensure readiness for maritime operations.,,
7,strategy,/ˈstɹætədʒi/,The general developed a comprehensive strategy to outmaneuver enemy forces during the conflict.,,
8,arms,/ˈɑɹmz/,The country invested heavily in modernizing its arms to enhance its military capabilities.,,
9,grenade,/ɡɹəˈneɪd/,The soldier pulled the pin from the grenade before tossing it towards the enemy position.,,
10,handgun,/ˈhændˌɡən/,The officer drew his handgun when he saw a potential threat.,,
11,mine,/maɪn/,The documentary highlighted the lasting impact of mines on civilian populations.,,
12,campaign,/kæmˈpeɪn/,"The military campaign lasted for several months, aiming to secure the region.",,
13,to command,/kəˈmænd/,General Smith commands the 5th Infantry Division stationed in the southern region.,,
14,to desert,/ˈdɛzɚt/,"Many soldiers deserted their posts during the war, seeking safety elsewhere.",,
15,to dominate,/ˈdɑməˌneɪt/,"In the competitive business world, companies strive to dominate their market.",,
16,to invade,/ˌɪnˈveɪd/,The army decided to invade the neighboring country to secure vital resources.,,
17,to recruit,/rɪˈkrut/,The military aimed to recruit new members to strengthen its forces.,,
18,to strike,/ˈstɹaɪk/,The blacksmith struck the hot metal with a hammer to shape it.,,
19,gunfight,/ˈɡənˌfaɪt/,"The gunfight erupted suddenly in the streets, causing panic among bystanders.",,
20,armed,/ˈɑɹmd/,The armed soldiers stood guard at the entrance to the military base.,,
21,civil,/ˈsɪvəɫ/,The civil infrastructure of the city was heavily damaged during the siege.,,
22,occupied,/ˈɑkjəˌpaɪd/,The city remained occupied by enemy troops for several years during the war.,,
23,parade,/pɝˈeɪd/,Soldiers marched in perfect synchronization during the Independence Day parade.,,
24,prisoner of war,/pɹˈɪzənɚɹ ʌv wˈɔːɹ/,Prisoners of war should not be subjected to torture or cruel treatment.,,
25,rank,/ˈɹæŋk/,Communication between ranks is vital for operational success in military missions.,,
26,refugee,/ˈɹɛfjudʒi/,The refugee camp provided shelter and basic necessities to displaced families.,,
27,volunteer,/ˌvɑɫənˈtɪɹ/,Volunteers can play crucial roles in various military operations and support efforts.,,
28,service,/ˈsɝːvɪs/,They come from a service family with generations serving in the armed forces.,,
29,tank,/ˈtæŋk/,"The tank battalion advanced across the battlefield, providing crucial firepower support.",,
30,warship,/ˈwɔɹˌʃɪp/,The warship's advanced technology enhanced its combat capabilities.,,
31,war crime,/wˈɔːɹ kɹˈaɪm/,Evidence was presented to support the charges of war crimes against the military leaders.,,
32,nuclear submarine,/nˈuːklɪɹ sˈʌbmɚɹˌiːn/,The nuclear submarine can stay submerged for months due to its powerful reactor.,,
33,target,/ˈtɑrɡɪt/,They established security measures around high-profile targets.,,
34,to wreck,/ˈɹɛk/,The storm had the power to wreck houses along the coast.,,
35,spoil,/ˈspɔɪɫ/,"The spoils from the captured city were beyond imagination, filled with gold and precious jewels.",,
36,to wound,"/ˈwaʊnd/, /ˈwund/",Carelessness with sharp objects can easily wound a person.,,
37,ground-to-air missile,/ɡɹˈaʊndtʊˈɛɹ mˈɪsəl/,The military deployed ground-to-air missiles to protect the base from enemy aircraft.,,
38,air-to-ground missile,/ˈeɹɾəɡɹˈaʊnd mˈɪsəl/,Air-to-ground missiles are often equipped with advanced guidance systems to improve accuracy.,,
39,brass knuckles,/bɹˈæs nˈʌkəlz/,He was arrested for carrying brass knuckles in his pocket.,,
40,dogfight,/ˈdɑɡˌfaɪt/,The film depicted thrilling dogfights between fighter planes in World War II.,,
41,marine,/məˈrin/,The marines were deployed to assist in disaster relief efforts after the hurricane.,,
42,to gun down,/ɡˈʌn dˈaʊn/,The assailant attempted to gun down his target in a crowded market.,,
43,United States Marine Corps,/juːnˈaɪɾᵻd stˈeɪts mɚɹˈiːn kˈɔːɹ/,The United States Marine Corps plays a crucial role in national defense and global military operations.,,
44,sidearm,/ˈsaɪdɑɹm/,He preferred to carry a lightweight sidearm for everyday use rather than a larger firearm.,,
45,bulletproof,/ˈbʊɫətˌpɹuf/,The bulletproof vest saved the officer's life during the shootout.,,
