order,word,phonetic,example,note,definition_en
1,address book,/ɐdɹˈɛs bˈʊk/,She keeps all her friends' contact details organized in her address book.,,
2,answering machine,/ˈænsɚɹɪŋ məʃˈiːn/,She checked her answering machine for messages after coming home.,,
3,phone booth,/fˈoʊn bˈuːθ/,She stepped into the phone booth to make a private call.,,
4,handset,/ˈhændˌsɛt/,She picked up the handset to answer the incoming call.,,
5,hotline,/ˈhɑtˌɫaɪn/,Political campaigns use hotlines to encourage voter turnout and provide information on polling locations.,,
6,landline,/ˈɫændˌɫaɪn/,She still uses a landline for reliable communication at home.,,
7,to dial,"/ˈdaɪəɫ/, /ˈdaɪɫ/",She dialed her friend's number to invite them to the party.,,
8,to call around,/kˈɔːl ɐɹˈaʊnd/,We spent the afternoon calling around to find the best travel deals.,,
9,to call back,/kˈɔːl bˈæk/,I'll call the client back as soon as I finish this meeting.,,
10,to call up,/kˈɔːl ˈʌp/,He called up the customer to address their concerns.,,
11,caller,/ˈkɔɫɝ/,She recognized the caller's voice as soon as she answered.,,
12,operator,/ˈɑpɝˌeɪtɝ/,The operator connected the caller to the appropriate department.,,
13,caller ID,/kˈɔːlɚɹ ˌaɪdˈiː/,She checked her caller ID to see who was calling.,,
14,to cut off,/kˈʌt ˈɔf/,"In the middle of discussing plans, Tom's boss had to cut off the call unexpectedly for an urgent meeting.",,
15,to [give] {sb} a call,/ɡˈɪv sˈʌmwʌn ɐ kˈɔːl/,I'll give you a call when I'm ready to discuss the project.,,
16,to hang on,/hˈæŋ ˈɑːn/,Can you please hang on for a moment?,,
17,to hang up,/hˈæŋ ˈʌp/,"If the call quality is poor, it's better to hang up and try again for a clearer connection.",,
18,to hold,/hoʊld/,Could you please hold for a moment while I transfer your call?,,
19,to put through,/pˌʊt θɹˈuː/,Please hold while I put you through to the manager.,,
20,available,/əˈveɪləbəl/,"I tried calling my friend, but she wasn't available to take my call.",,
21,busy,/ˈbɪzi/,She kept getting a busy signal when she tried to call her friend.,,
22,Internet cafe,/ˈɪntɚnˌɛt kæfˈeɪ/,She visited the Internet café to check her email while traveling.,,
23,social media,/sˈoʊʃəl mˈiːdiːə/,She spends hours on social media connecting with friends.,,
24,home page,/hˈoʊm pˈeɪdʒ/,She visited the home page to find the latest updates.,,
25,HTTP,/ˌeɪtʃtˌiːtˌiːpˈiː/,They discussed how HTTP works in transferring data online.,,
26,follower,/ˈfɑloʊər/,She gained a lot of followers after posting her travel photos.,,
27,to friend,/frɛnd/,She friended her coworker on Facebook after the meeting.,,
28,friend request,/fɹˈɛnd ɹɪkwˈɛst/,She received a friend request from a former classmate on Facebook.,,
29,attachment,/əˈtætʃmənt/,She sent an attachment with the report to her boss.,,
30,hate mail,/hˈeɪt mˈeɪl/,She received hate mail after speaking out on social media.,,
31,Skype,/skˈaɪp/,We use Skype for weekly video conferences with our international team members.,,
32,web chat,/wˈɛb tʃˈæt/,Customer support is available 24/7 through the web chat feature on their website.,,
33,instant messaging,/ˈɪnstənt mˈɛsɪdʒɪŋ/,They prefer to communicate through instant messaging rather than email for quick responses.,,
34,net surfer,/nˈɛt sˈɜːfɚ/,The net surfer spent hours exploring different websites and online forums.,,
