order,word,phonetic,example,note,definition_en
1,cornfield,/ˈkɔɹnˌfiɫd/,The cornfield stretched for acres under the summer sun.,,
2,plantation,/ˌpɫænˈteɪʃən/,The plantation produced large quantities of sugarcane for export.,,
3,cowboy,/ˈkaʊˌbɔɪ/,"The cowboy rode across the plains, guiding the cattle to new pastures.",,
4,crop,/krɑp/,The farmer harvested a large crop of corn this year.,,
5,groundwater,/ɡɹˈaʊnd wˈɔːɾɚ/,Many communities rely on groundwater for their drinking water supply.,,
6,erosion,/ɪˈɹoʊʒən/,The Grand Canyon was formed over millions of years through the erosion of the Colorado River cutting through the rock layers.,,
7,pesticide,/ˈpɛstəˌsaɪd/,The farmer applied pesticide to protect his crops from harmful insects.,,
8,agricultural,"/ˌæɡɹəˈkəɫtʃɝəɫ/, /ˌæɡɹɪˈkəɫtʃɝəɫ/",Agricultural practices involve the growing of crops and raising of livestock for food production.,,
9,edible,/ˈɛdəbəɫ/,Make sure the meat is cooked enough to be edible.,,
10,fertile,/ˈfɜrtəl/,She learned that some plants are more fertile in certain climates.,,
11,produce,/prəˈdus/,The grocery store had a wide selection of produce in the fresh section.,,
12,barley,/ˈbɑɹɫi/,He picked a barley from the sack and examined it closely.,,
13,legume,/ˈɫɛɡˌjum/,Chickpeas and lentils are common legumes used in vegetarian cooking.,,
14,hay,/ˈheɪ/,The farmer stacked bales of hay in the barn for the winter.,,
15,soy,/ˈsɔɪ/,Soy is a major source of plant-based protein.,,
16,sugar cane,/ʃˈʊɡɚ kˈeɪn/,The farmers grow sugar cane in large fields to produce sugar.,,
17,to dig,/ˈdɪɡ/,The archaeologist used a shovel to dig for ancient artifacts.,,
18,to harness,"/ˈhɑɹnəs/, /ˈhɑɹnɪs/",The farmer harnessed the horses to the plow to prepare the field for planting.,,
19,to harvest,/ˈhɑrvɪst/,They harvest the fish from the lake each summer.,,
20,to keep,/kiːp/,He keeps chickens in his backyard for fresh eggs.,,
21,to load,/loʊd/,The cargo plane was loaded with relief supplies to be transported to the disaster-stricken area.,,
22,to package,/ˈpækɪdʒ/,"In preparation for the move, they needed to package the electronics securely.",,
23,to pile,/paɪl/,The librarian piled books on the table as she sorted them into different categories.,,
24,to uproot,/əˈpɹut/,They uprooted the old tree to make space for a new playground.,,
25,livestock,/ˈɫaɪvˌstɑk/,"The farm had a variety of livestock, including cows, pigs, and sheep.",,
26,boar,/ˈbɔɹ/,The farmer kept several boars in separate pens for breeding with the sows.,,
27,calf,/ˈkæf/,"After weaning, the calf was separated from its mother and placed in a separate pen.",,
28,hog,/ˈhɑɡ/,The farmer raised a hog for the county fair competition.,,
29,mule,/ˈmjuɫ/,The mule carried heavy loads up the steep mountain trail.,,
30,pony,/ˈpoʊˌni/,The children enjoyed riding the pony during their visit to the farm.,,
31,honeycomb,/ˈhəniˌkoʊm/,"The honeycomb was filled with golden honey, ready for harvesting.",,
32,poultry,/ˈpoʊltri/,The farm specializes in raising poultry for both meat and egg production.,,
33,ostrich,/ˈɔstɹɪtʃ/,The ostrich can run up to 40 miles per hour to escape predators.,,
