order,word,phonetic,example,note,definition_en
1,aerospace,/ˈɛɹoʊˌspeɪs/,She studied aerospace engineering to pursue a career in space exploration.,,
2,astrobiology,/æstɹˌoʊbaɪˈɑːlədʒi/,"Astrobiology explores the potential for life beyond Earth, studying environments where life could exist.",,
3,atmospheric,/ˌætməsˈfɛɹɪk/,Atmospheric conditions can affect weather patterns and climate.,,
4,cosmic,/ˈkɑzmɪk/,Cosmic phenomena encompass the vast and often mysterious aspects of the universe beyond Earth.,,
5,full moon,/fˈʊl mˈuːn/,"The couple decided to take a stroll in the park under the full moon, enjoying a romantic evening.",,
6,half-moon,/hˈæfmˈuːn/,"During the evening sky, a captivating half-moon hung just above the horizon.",,
7,new moon,/nˈuː mˈuːn/,Skywatchers eagerly awaited the appearance of the new moon.,,
8,to go down,/ɡoʊ ˈdaʊn/,"As we hiked to the hill's summit, we were treated to a spectacular view of the sun going down.",,
9,big bang,/bˈɪɡ bˈæŋ/,The Big Bang theory posits that the universe began with a massive explosion approximately 13.8 billion years ago.,,
10,cosmos,/ˈkɑzmoʊs/,"The study of the cosmos encompasses the exploration of galaxies, stars, and planets.",,
11,celestial body,/səlˈɛstjəl bˈɑːdi/,The moon is a celestial body that orbits the Earth.,,
12,the Milky Way,/ðə mˈɪlki wˈeɪ/,The Milky Way is a barred spiral galaxy that contains our solar system.,,
13,constellation,/ˌkɑnstəˈɫeɪʃən/,Orion is a well-known constellation visible in the winter sky.,,
14,zodiac,/ˈzoʊdiˌæk/,All twelve zodiac constellations can be seen within the zodiac belt.,,
15,comet,/ˈkɑmət/,"Halley's Comet is one of the most famous comets, visible from Earth approximately every 76 years.",,
16,dwarf,/ˈdwɔɹf/,Proxima Centauri is a red dwarf star located in the Alpha Centauri star system.,,
17,exoplanet,/ɛɡzˈɑːplɐnˌɛt/,Astronomers have discovered thousands of exoplanets orbiting stars beyond our solar system.,,
18,meteor,/ˈmitiɝ/,We saw a bright meteor streak across the sky during the meteor shower last night.,,
19,meteorite,/ˈmitiɔˌɹaɪt/,Scientists analyzed the composition of the meteorite that fell in the desert last month.,,
20,Nebula,/ˈnɛbjəɫə/,The Orion Nebula is a famous example of a stellar nursery.,,
21,supernova,/ˌsupɝˈnoʊvə/,A supernova is a powerful explosion that occurs at the end of a massive star's life cycle.,,
22,NASA,/ˈnæsə/,"NASA, the National Aeronautics and Space Administration, is responsible for the United States' civilian space program.",,
23,mission,/ˈmɪʃən/,The Apollo 11 mission successfully landed astronauts on the Moon in 1969.,,
24,cosmonaut,/ˈkɔzməˌnɔt/,Yuri Gagarin was the first cosmonaut to orbit the Earth in 1961.,,
25,to lift off,/lˈɪft ˈɔf/,"The rocket lifted off with a thunderous roar, marking the beginning of the historic mission.",,
26,axis,/ˈæksəs/,The Earth spins on its axis once every twenty-four hours.,,
27,rotation,/ɹoʊˈteɪʃən/,One full rotation of the Earth takes twenty-four hours.,,
28,space shuttle,/spˈeɪs ʃˈʌɾəl/,The Space Shuttle program operated by NASA allowed astronauts to travel to and from space from 1981 to 2011.,,
29,unidentified flying object,/ˌjuˌɛˈfoʊ/,Witnesses reported seeing an unidentified flying object hovering silently in the night sky.,,
30,weightless,/ˈweɪtɫəs/,Objects inside the spacecraft become weightless once it reaches orbit around the Earth.,,
