order,word,phonetic,example,note,definition_en
1,diameter,/daɪˈæmətɝ/,"The diameter of a circle is the longest distance between any two points on its circumference, passing through the center.",,
2,radius,/ˈɹeɪdiəs/,"The radius of a circle is half the length of its diameter, extending from the center to any point on the circumference.",,
3,ratio,/ˈɹeɪʃiˌoʊ/,The debt-to-income ratio is a crucial factor in determining a person's creditworthiness.,,
4,decimal,/ˈdɛsəməɫ/,"In mathematics, decimals are a way to represent fractions or portions of a whole using a decimal point.",,
5,equation,/ɪˈkweɪʒən/,"In algebra, solving equations involves finding the values of variables that satisfy the equality stated.",,
6,subtraction,/səbˈtɹækʃən/,"In subtraction, 15 minus 7 equals 8.",,
7,formula,/ˈfɔɹmjəɫə/,The quadratic formula provides a method for finding the roots of a quadratic equation.,,
8,function,/ˈfəŋkʃən/,"In calculus, a function represents a relationship between input and output variables, often denoted as f(x).",,
9,factor,/ˈfæktɝ/,A factor of a number divides it evenly without leaving a remainder.,,
10,dividend,/ˈdɪvɪˌdɛnd/,"In division, the dividend is the number that is being divided.",,
11,divisor,/dɪˈvaɪzɝ/,A divisor is a number that divides another number evenly without leaving a remainder.,,
12,mathematical,/ˌmæθəˈmætɪkəɫ/,She employed mathematical equations to solve complex problems in physics.,,
13,minimal,/ˈmɪnəməɫ/,She applied only a minimal amount of makeup for a natural look.,,
14,numerical,"/nuˈmɛɹəkəɫ/, /nuˈmɛɹɪkəɫ/",The numerical values of the measurements were recorded in a spreadsheet.,,
15,countless,/ˈkaʊntɫəs/,The night sky was filled with countless stars.,,
16,endless,/ˈɛndɫəs/,The endless fields of wheat stretched out as far as the eye could see.,,
17,infinite,/ˈɪnfɪnɪt/,"The sequence of natural numbers (1, 2, 3, 4, 5, ...) is infinite.",,
18,ordinal,/ˈɔːɹdɪnəl/,"In a race, the runner who finishes in first place is said to be the winner of the first ordinal.",,
19,bracket,/ˈbɹækɪt/,"In mathematical expressions, brackets [ ] are used to group terms or indicate priority in operations.",,
20,segment,"/ˈsɛɡmənt/, /ˌsɛɡˈmɛnt/",A circle is divided into several segments by two radii and the arc between them.,,
21,solid,/ˈsɑlɪd/,"A cube is an example of a solid shape with six faces, all of which are squares.",,
22,to express,/ɪkˈsprɛs/,"To solve the problem, we need to express the given data in the form of mathematical expressions and equations.",,
23,to total,/ˈtoʊtəl/,"To total the expenses, add up all the receipts from the business trip.",,
24,metric system,/mˈɛtɹɪk sˈɪstəm/,The metric system is an internationally recognized standard of measurement used in most countries around the world.,,
25,barrel,"/ˈbærəl/, /ˈberəl/",Each holds a barrel of maple syrup.,,
26,hectare,/ˈhɛkˌtɑɹ/,"A hectare is a unit of area equal to 10,000 square meters or approximately 2.47 acres.",,
27,horsepower,/ˈhɔɹˌspaʊɝ/,Horsepower is a unit of power used to measure the rate at which work is done.,,
28,pace,/ˈpeɪs/,A pace is a traditional unit of length equal to the distance covered by a single step or stride.,,
29,pint,/ˈpaɪnt/,"I'll have a pint of beer, please.",,
30,proof,/ˈpɹuf/,"In the United States, proof is a measure of the alcohol content in beverages, with 1 proof equal to 0.5% alcohol by volume.",,
31,quart,/ˈkwɔɹt/,A quart is a unit of volume equal to 32 fluid ounces or approximately 0.946 liters.,,
32,score,/skɔr/,The farmer harvested a score of apples from his orchard.,,
33,miles per hour,/mˈaɪlz pɜːɹ ˈaɪʊɹ/,"Miles per hour (mph) is a unit used to measure speed, representing the distance traveled in miles per hour of time.",,
34,value,/ˈvælju/,"In algebra, variables represent unknown values that can be determined through equations.",,
35,variable,/ˈvɛɹiəbəɫ/,"In algebra, variables such as x, y, and z represent quantities that can vary or change in value.",,
