order,word,phonetic,example,note,definition_en
1,automobile,/ˈɔːtəməbiːl/,"After years of saving, she finally purchased her dream automobile, a sleek and stylish sports car.",,
2,cab,/kæb/,We hailed a cab to take us to the airport as we were running late for our flight.,,
3,double-decker,/ˈdʌbəl ˈdɛkər/,The double-decker bus offered tourists a panoramic view of the city from its upper deck.,,
4,freight car,/freɪt kɑr/,The freight car was loaded with crates of fresh produce destined for distribution centers across the country.,,
5,freight train,/freɪt treɪn/,"The freight train rumbled through the countryside, carrying containers of manufactured goods to distribution centers.",,
6,garbage truck,/ˈɡɑrbɪdʒ trʌk/,The garbage truck comes by our neighborhood every Monday morning to collect trash.,,
7,jeep,/dʒip/,The army deployed jeeps to navigate rough terrain during military operations.,,
8,minibus,/ˈmɪnibʌs/,The airport shuttle service uses minibuses to transport passengers between the airport terminals and nearby hotels.,,
9,monorail,/ˈmɑnəreɪl/,The city implemented a monorail system to alleviate traffic congestion and provide efficient public transportation.,,
10,moped,/ˈmoʊpɛd/,He decided to buy a moped for his daily commute to work to save on fuel costs.,,
11,moving van,/ˈmuvɪŋ væn/,They rented a moving van to transport all their belongings to their new apartment across town.,,
12,rickshaw,/ˈrɪkʃɔ/,Tourists enjoyed a scenic ride through the bustling streets of Bangkok in a traditional rickshaw.,,
13,snowplow,/ˈsnoʊplaʊ/,"The snowplow cleared the streets early in the morning, making it safe for cars to drive.",,
14,tram,/træm/,"The tram glided smoothly along its tracks, taking commuters through the heart of the city.",,
15,airbus,/ˈɛrbʌs/,"The Airbus A380, known for its double-deck configuration, is one of the largest passenger planes in the world.",,
16,airliner,/ˈɛrlaɪnər/,"The airliner took off smoothly from the runway, beginning its journey across the Atlantic.",,
17,hovercraft,/ˈhʌvərkræft/,"The hovercraft glided effortlessly across the lake, propelled by powerful fans that lifted it above the water.",,
18,jumbo jet,/ˈdʒʌmboʊ dʒɛt/,"The jumbo jet taxied to the runway, ready for its transcontinental journey across the Pacific.",,
19,zeppelin,/ˈzɛpəlɪn/,"The zeppelin floated gracefully through the sky, offering breathtaking views of the countryside below.",,
20,vessel,/ˈvɛsəl/,"The cargo vessel sailed into the harbor, carrying goods from overseas.",,
21,cruiser,/ˈkruzər/,"The cruiser sailed leisurely along the coastline, offering breathtaking views of the sunset.",,
22,canoe,/kəˈnu/,"They paddled their canoe along the tranquil river, enjoying the peaceful surroundings.",,
23,kayak,/ˈkaɪæk/,They rented a kayak for a day of exploring the scenic coastline and hidden coves.,,
24,lifeboat,/ˈlaɪfboʊt/,The crew launched the lifeboats quickly after the ship encountered rough seas.,,
25,powerboat,/ˈpaʊərboʊt/,They enjoyed the thrill of speeding across the lake in their sleek powerboat.,,
26,speedboat,/ˈspidboʊt/,"They raced their speedboat along the river, reaching exhilarating speeds.",,
27,integrated,/ˈɪntəɡreɪtɪd/,"The new software system is integrated with existing platforms, streamlining operations across departments.",,
28,viaduct,/ˈvaɪədʌkt/,"The viaduct spanned the valley, carrying the train tracks high above the river.",,
29,recreational vehicle,/ɹˌɛkɹiːˈeɪʃənəl vˈiəkəl/,"They traveled across the country in their spacious recreational vehicle, stopping at national parks along the way.",,
30,limousine,/ˈɫɪməˌzin/,"The bride arrived at the wedding venue in a white stretch limousine, making a grand entrance.",,
31,submarine,/ˈsʌbmərin/,"The submarine submerged silently beneath the waves, evading detection from enemy radar.",,
